菲利佩.凯塞多,http://soccer.stats.qq.com/player.htm?type=yijia&t1=42173,183cm,84kg,厄瓜多尔,1988-09-05,前锋
奇罗·因莫比莱,http://soccer.stats.qq.com/player.htm?type=yijia&t1=59046,185cm,78kg,意大利,1990-02-20,前锋
克里斯蒂亚诺-隆巴尔迪,http://soccer.stats.qq.com/player.htm?type=yijia&t1=154410,179cm,75kg,意大利,1995-08-19,
帕罗毕,http://soccer.stats.qq.com/player.htm?type=yijia&t1=203452,182cm,75kg,意大利,1996-04-23,
杜桑.巴斯塔,http://soccer.stats.qq.com/player.htm?type=yijia&t1=20007,183cm,76kg,塞尔维亚,1984-08-18,
斯特凡.拉杜,http://soccer.stats.qq.com/player.htm?type=yijia&t1=27353,183cm,79kg,罗马尼亚,1986-10-22,
马丁.卡塞雷斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=43693,180cm,78kg,乌拉圭,1987-04-07,后卫
阿切比,http://soccer.stats.qq.com/player.htm?type=yijia&t1=84178,192cm,88kg,意大利,1988-02-10,后卫
帕特里克,http://soccer.stats.qq.com/player.htm?type=yijia&t1=106461,184cm,72kg,西班牙,1993-04-17,
卢卡库,http://soccer.stats.qq.com/player.htm?type=yijia&t1=109353,177cm,86kg,Belgium,1994-07-25,后卫
华莱士,http://soccer.stats.qq.com/player.htm?type=yijia&t1=160058,191cm,83kg,巴西,1994-10-14,
普罗托,http://soccer.stats.qq.com/player.htm?type=yijia&t1=27251,187cm,77kg,Belgium,1983-05-23,
伊万·瓦基奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=56960,192cm,90kg,克罗地亚,1987-03-15,门将
托马斯-斯特拉科萨,http://soccer.stats.qq.com/player.htm?type=yijia&t1=140200,186cm,78kg,阿尔巴尼亚,1995-03-19,
古伊多-圭莱里,http://soccer.stats.qq.com/player.htm?type=yijia&t1=141219,184cm,78kg,意大利,1996-02-25,
埃德加-巴雷托,http://soccer.stats.qq.com/player.htm?type=yijia&t1=14404,180cm,79kg,巴拉圭,1984-07-15,
阿尔宾.埃克达尔,http://soccer.stats.qq.com/player.htm?type=yijia&t1=50779,186cm,75kg,瑞典,1989-07-28,中场
萨波纳拉,http://soccer.stats.qq.com/player.htm?type=yijia&t1=57107,184cm,73kg,意大利,1991-12-21,
加斯顿.拉米雷斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=78091,183cm,78kg,乌拉圭,1990-12-02,中场
帕拉艾特,http://soccer.stats.qq.com/player.htm?type=yijia&t1=106837,181cm,78kg,Belgium,1994-05-14,
